UserID,AvatarID,GameArea,PackAmount,Gold,
625806,4295593102,0,304,182360,970.00 
939343,4295906639,0,467,280120,1490.00 
1303399,4296270695,0,116,69560,370.00 
2105292,4297072588,0,161,96256,512.00 
2609200,4297576496,0,467,280120,1490.00 
3000829,4297968125,0,88,52640,280.00 
3638829,4298606125,0,815,488800,2600.00 
4044409,4299011705,0,4794,2876400,15300.00 
4781576,4299748872,0,305,182736,972.00 
5565442,4300532738,0,282,169200,900.00 
5744766,4300712062,0,3544,2126280,11310.00 
5837235,4300804531,0,82,48880,260.00 
5928734,4300896030,0,564,338400,1800.00 
6177479,4301144775,0,79,47000,250.00 
6194128,4301161424,0,1974,1184400,6300.00 
6329078,4301296374,0,981,588440,3130.00 
6725505,4301692801,0,2197,1317880,7010.00 
6867895,4301835191,0,483,289520,1540.00 
7422470,4302389766,0,705,423000,2250.00 
7610181,4302577477,0,44,26320,140.00 
8426798,4303394094,0,483,289520,1540.00 
8902599,4303869895,0,420,251920,1340.00 
9364155,4304331451,0,16,9400,50.00 
9448681,4304415977,0,4,1880,10.00 
9559696,4304526992,0,351,210560,1120.00 
9578063,4304545359,0,235,141000,750.00 
9991151,4304958447,0,727,436160,2320.00 
10182486,4305149782,0,1329,797120,4240.00 
10449085,4305416381,0,442,265080,1410.00 
10850322,4305817618,0,599,359080,1910.00 
11572779,4306540075,0,314,188000,1000.00 
12751237,4307718533,0,1241,744480,3960.00 
13182813,4308150109,0,318,190632,1014.00 
13423830,4308391126,0,850,509480,2710.00 
13770295,4308737591,0,113,67680,360.00 
14035990,4309003286,0,88,52640,280.00 
14053598,4309020894,0,1241,744480,3960.00 
14546717,4309514013,0,1924,1154320,6140.00 
14732199,4309699495,0,173,103400,550.00 
15408040,4310375336,0,4,2256,12.00 
15934929,4310902225,0,3429,2056908,10941.00 
16031857,4310999153,0,5,2632,14.00 
16573837,4311541133,0,897,537680,2860.00 
16651401,4311618697,0,16,9400,50.00 
16839875,4311807171,0,186,111108,591.00 
17345583,4312312879,0,4,1880,10.00 
17869904,4312837200,0,611,366600,1950.00 
18166322,4313133618,0,559,334828,1781.00 
18224791,4313192087,0,408,244400,1300.00 
18706946,4313674242,0,179,107160,570.00 
19495113,4314462409,0,3209,1925120,10240.00 
19858503,4314825799,0,2153,1291560,6870.00 
20591182,4315558478,0,4,2068,11.00 
20823586,4315790882,0,464,278240,1480.00 
20825429,4315792725,0,120,71440,380.00 
21189371,4316156667,0,91,54520,290.00 
21369513,4316336809,0,1542,924960,4920.00 
21468158,4316435454,0,160,95880,510.00 
21502818,4316470114,0,32,18800,100.00 
21687129,4316654425,0,248,148520,790.00 
21857613,4316824909,0,5525,3314816,17632.00 
21863717,4316831013,0,15476,9285320,49390.00 
21963230,4316930526,0,508,304748,1621.00 
22030579,4316997875,0,138,82720,440.00 
22142994,4317110290,0,1092,654804,3483.00 
22218869,4317186165,0,401,240452,1279.00 
22391185,4317358481,0,1978,1186280,6310.00 
22411473,4317378769,0,182,109040,580.00 
22423876,4317391172,0,511,306440,1630.00 
22638556,4317605852,0,16,9400,50.00 
252658,8590187250,0,398,238760,1270.00 
3393429,8593328021,0,106,63168,336.00 
4460088,8594394680,0,3178,1906320,10140.00 
4651296,8594585888,0,458,274480,1460.00 
7186446,8597121038,0,113,67680,360.00 
7283582,8597218174,0,3212,1927000,10250.00 
11889201,8601823793,0,60,35720,190.00 
13412407,8603346999,0,199,119004,633.00 
16263925,8606198517,0,170,101520,540.00 
16673951,8606608543,0,879,527340,2805.00 
17118086,8607052678,0,98,58280,310.00 
19244230,8609178822,0,1053,631680,3360.00 
19530526,8609465118,0,2861,1716440,9130.00 
22437727,8612372319,0,587,351748,1871.00 
22590364,8612524956,0,276,165440,880.00 
6986519,12891888407,0,306,183488,976.00 
9486441,12894388329,0,16,9400,50.00 
10515693,12895417581,0,499,298920,1590.00 
2228324,17182097508,0,94,56400,300.00 
4577478,17184446662,0,370,221840,1180.00 
10101977,17189971161,0,73,43240,230.00 
8813218,21483649698,0,1702,1020840,5430.00 
11241385,25781045161,0,310,185744,988.00 
